date,portfolio_value,cash,n_positions,positions,n_buys,n_sells
2023-07-17,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-07-18,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-07-19,1008891.4575608798,1008891.4575608798,0,[],0,62
2023-07-20,1008891.4575608798,1008891.4575608798,0,[],0,62
2023-07-21,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-07-24,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-07-25,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-07-26,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-07-27,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-07-28,1008891.4575608798,1008891.4575608798,0,[],0,61
2023-07-31,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-01,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-02,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-03,1008891.4575608798,1008891.4575608798,0,[],0,62
2023-08-04,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-07,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-08,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-09,1008891.4575608798,1008891.4575608798,0,[],0,62
2023-08-10,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-11,1008891.4575608798,1008891.4575608798,0,[],0,62
2023-08-14,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-15,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-16,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-17,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-18,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-21,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-22,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-23,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-24,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-25,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-28,1008891.4575608798,1008891.4575608798,0,[],0,63
