ticker,entry_date,exit_date,entry_price,exit_price,shares,cost_basis,net_proceeds,pnl,pnl_pct,holding_days
ARKK,2023-02-03,2023-02-07,42.46241816711425,42.237718780517575,1962,83394.57570832204,82787.53384312811,-607.0418651939253,-0.007279152871010386,4
TAN,2023-04-18,2023-04-19,78.9288484725952,77.61231243896485,1055,83353.20507372652,81799.10863348481,-1554.0964402417158,-0.01864471124856094,1
XLP,2023-05-03,2023-05-04,77.13705755615233,76.66325786590576,1080,83391.33018280516,82713.52217668304,-677.8080061221262,-0.008128039265428178,1
SMH,2023-05-26,2023-06-02,141.93178327941894,147.74210939025878,587,83397.27074180394,86637.89359386981,3240.622852065877,0.03885766072727694,7
SOXX,2023-05-26,2023-06-05,155.70220803833007,160.50266674804686,535,83383.9819818071,85783.05778349486,2399.075801687766,0.02877142281608957,10
URA,2023-09-06,2023-09-08,24.71469053459167,24.525449237823487,3371,83396.53501390063,82592.61409132228,-803.9209225783561,-0.009639740097647434,2
UNG,2024-01-10,2024-01-18,24.824799236297604,22.977,3356,83395.33826325178,77033.701188,-6361.637075251769,-0.07628288592307358,8
IBIT,2024-02-27,2024-03-18,32.56252877807617,38.77119137191772,2559,83410.83865424003,99116.2632420167,15705.42458777668,0.1882899733556189,20
SLV,2024-04-03,2024-04-10,24.294270458221433,25.30466992378235,3430,83412.67701937121,86708.22282073488,3295.545801363667,0.03950893220461359,7
DBA,2024-04-11,2024-04-12,25.38536061096191,25.444529314041137,3282,83398.06827870217,83425.43626347433,27.367984772165073,0.00032816089553424575,1
URNM,2024-04-12,2024-04-16,54.48443030548095,50.47946878051758,1529,83390.00063101745,77105.92465764597,-6284.07597337148,-0.07535766789566467,4
SLV,2024-04-15,2024-04-16,26.236209083557124,26.043929695129396,3176,83409.5262494268,82632.80519101923,-776.7210584075656,-0.009312138473066838,1
GLD,2024-04-15,2024-04-16,218.15794244384765,219.95981268310547,381,83201.29424717705,83720.8839436309,519.5896964538551,0.00624497132112202,1
KWEB,2024-05-03,2024-05-06,30.300270458221434,30.649320304870606,2750,83409.06950386906,84201.34520755577,792.2757036867115,0.009498675724346265,3
FXI,2024-05-03,2024-05-07,27.287260229110714,26.973,3053,83391.31348495449,82266.22043100001,-1125.0930539544788,-0.013491729617107767,4
