date,value_Loose,value_Tight
2021-12-06,1003526.9426845456,999711.8597495605
2021-12-07,1003526.9426845456,999711.8597495605
2021-12-08,1003526.9426845456,999711.8597495605
2021-12-09,1003526.9426845456,999711.8597495605
2021-12-10,1003526.9426845456,999711.8597495605
2021-12-13,1003526.9426845456,999711.8597495605
2021-12-14,1003526.9426845456,999711.8597495605
2021-12-15,1003526.9426845456,999711.8597495605
2021-12-16,1003526.9426845456,999711.8597495605
2021-12-17,1003526.9426845456,999711.8597495605
2021-12-20,1003526.9426845456,999711.8597495605
2021-12-21,1003526.9426845456,999711.8597495605
2021-12-22,1003526.9426845456,999711.8597495605
2021-12-23,1003526.9426845456,999711.8597495605
2021-12-27,1003526.9426845456,999711.8597495605
2021-12-28,1003526.9426845456,999711.8597495605
2021-12-29,1003526.9426845456,999711.8597495605
2021-12-30,1003526.9426845456,999711.8597495605
2021-12-31,1003526.9426845456,999711.8597495605
2022-01-03,1003526.9426845456,999711.8597495605
2022-01-04,1003526.9426845456,999711.8597495605
2022-01-05,1003526.9426845456,999711.8597495605
2022-01-06,1003526.9426845456,999711.8597495605
2022-01-07,1003526.9426845456,999711.8597495605
2022-01-10,1003526.9426845456,999711.8597495605
2022-01-11,1003526.9426845456,999711.8597495605
2022-01-12,1003526.9426845456,999711.8597495605
2022-01-13,999398.6636755893,999711.8597495605
2022-01-14,997903.7492491244,999711.8597495605
2022-01-18,997903.7492491244,999711.8597495605
2022-01-19,997903.7492491244,999711.8597495605
2022-01-20,997903.7492491244,999711.8597495605
2022-01-21,997903.7492491244,999711.8597495605
2022-01-24,997903.7492491244,999711.8597495605
2022-01-25,997903.7492491244,999711.8597495605
2022-01-26,997903.7492491244,999711.8597495605
2022-01-27,997903.7492491244,999711.8597495605
2022-01-28,997903.7492491244,999711.8597495605
2022-01-31,997903.7492491244,999711.8597495605
2022-02-01,997903.7492491244,999711.8597495605
2022-02-02,997903.7492491244,999711.8597495605
2022-02-03,997903.7492491244,999711.8597495605
2022-02-04,997903.7492491244,999711.8597495605
2022-02-07,997903.7492491244,999711.8597495605
2022-02-08,997903.7492491244,999711.8597495605
2022-02-09,997903.7492491244,999711.8597495605
2022-02-10,997903.7492491244,999711.8597495605
2022-02-11,997903.7492491244,999711.8597495605
2022-02-14,997903.7492491244,999711.8597495605
2022-02-15,997903.7492491244,999711.8597495605
2022-02-16,997903.7492491244,999711.8597495605
2022-02-17,997903.7492491244,999711.8597495605
2022-02-18,997903.7492491244,999711.8597495605
2022-02-22,997903.7492491244,999711.8597495605
2022-02-23,997903.7492491244,999711.8597495605
2022-02-24,997903.7492491244,999711.8597495605
2022-02-25,997903.7492491244,999711.8597495605
2022-02-28,997903.7492491244,999711.8597495605
2022-03-01,997903.7492491244,999711.8597495605
2022-03-02,997903.7492491244,999711.8597495605
2022-03-03,997903.7492491244,999711.8597495605
2022-03-04,997903.7492491244,999711.8597495605
2022-03-07,997903.7492491244,999711.8597495605
2022-03-08,997903.7492491244,999711.8597495605
2022-03-09,997903.7492491244,999711.8597495605
2022-03-10,997903.7492491244,999711.8597495605
2022-03-11,997903.7492491244,999711.8597495605
2022-03-14,997903.7492491244,999711.8597495605
2022-03-15,997903.7492491244,999711.8597495605
2022-03-16,997903.7492491244,999711.8597495605
2022-03-17,997903.7492491244,999711.8597495605
2022-03-18,997903.7492491244,999711.8597495605
2022-03-21,997903.7492491244,999711.8597495605
2022-03-22,997903.7492491244,999711.8597495605
2022-03-23,997903.7492491244,999711.8597495605
