date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2025-07-30,986376.3778631939,1009113.8282552972,905971.3778631939,1,['AMBER.NS'],3,121
2025-07-31,985355.7853291509,1005979.8401498967,740751.4329731938,3,"['AMBER.NS', 'CRAFTSMAN.NS', 'SIRCA.NS']",0,126
2025-08-01,984535.1332451937,999099.4236509246,984535.1332451937,0,[],0,126
2025-08-04,984535.1332451937,1004502.8817453767,984535.1332451937,0,[],0,126
2025-08-05,984535.1332451937,1001945.275695421,984535.1332451937,0,[],0,126
2025-08-06,984535.1332451937,998955.3006536545,984535.1332451937,0,[],0,126
2025-08-07,984535.1332451937,998883.2941218375,984535.1332451937,0,[],0,126
2025-08-08,984535.1332451937,991138.3595065167,984535.1332451937,0,[],0,126
2025-08-11,984535.1332451937,998883.2941218375,984535.1332451937,0,[],0,126
2025-08-12,984535.1332451937,996181.5650746115,984535.1332451937,0,[],0,126
2025-08-13,984535.1332451937,1001512.9067036102,984535.1332451937,0,[],0,126
2025-08-14,984535.1332451937,1002269.4699890518,984535.1332451937,0,[],0,126
2025-08-18,984535.1332451937,1012500.0041225114,984535.1332451937,0,[],3,120
2025-08-19,989022.0027441751,1015705.9987597287,738438.3186316263,3,"['HEROMOTOCO.NS', 'GABRIEL.NS', 'ASHOKLEY.NS']",0,119
2025-08-20,990014.0259985697,1017723.2809869666,738438.3186316263,3,"['HEROMOTOCO.NS', 'GABRIEL.NS', 'ASHOKLEY.NS']",0,123
2025-08-21,989952.1815056568,1019668.5566823875,989952.1815056568,0,[],1,125
2025-08-22,993209.961882871,1011347.2400116221,906970.5658867772,1,['SHAILY.NS'],0,124
2025-08-25,994944.2638848241,1014697.3576461098,906970.5658867772,1,['SHAILY.NS'],0,124
2025-08-26,994567.9100575284,1005223.2768644553,994567.9100575284,0,[],2,120
2025-08-28,989970.1665878409,997586.4070136781,833706.6695175284,2,"['HINDUNILVR.NS', 'CRAFTSMAN.NS']",0,126
2025-08-29,989705.7042909439,994452.4189082776,989705.7042909439,0,[],0,126
2025-09-01,989705.7042909439,1002089.2887590548,989705.7042909439,0,[],0,124
2025-09-02,989705.7042909439,1000288.1360609041,989705.7042909439,0,[],0,124
