date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2024-10-04,1000000.0,1085263.725106789,1000000.0,0,[],0,125
2024-10-07,1000000.0,1076973.7118991355,1000000.0,0,[],0,126
2024-10-08,1000000.0,1082358.325101209,1000000.0,0,[],0,124
2024-10-09,1000000.0,1079724.1241358635,1000000.0,0,[],0,125
2024-10-10,1000000.0,1081970.9147895926,1000000.0,0,[],0,124
2024-10-11,1000000.0,1079724.1241358635,1000000.0,0,[],0,125
2024-10-14,1000000.0,1087626.8452529293,1000000.0,0,[],0,125
2024-10-15,1000000.0,1084024.0593980278,1000000.0,0,[],0,126
2024-10-16,1000000.0,1078871.8687387186,1000000.0,0,[],0,123
2024-10-17,1000000.0,1071860.179516268,1000000.0,0,[],0,126
2024-10-18,1000000.0,1075114.2133359942,1000000.0,0,[],0,126
2024-10-21,1000000.0,1071007.9241191233,1000000.0,0,[],0,126
2024-10-22,1000000.0,1059734.9579109494,1000000.0,0,[],0,126
2024-10-23,1000000.0,1057914.235845278,1000000.0,0,[],0,126
2024-10-24,1000000.0,1054156.5804425532,1000000.0,0,[],0,126
2024-10-25,1000000.0,1047803.5005719532,1000000.0,0,[],0,126
2024-10-28,1000000.0,1053575.524085643,1000000.0,0,[],0,126
2024-10-29,1000000.0,1059851.1691823313,1000000.0,0,[],0,126
2024-10-30,1000000.0,1054311.5682114058,1000000.0,0,[],0,126
2024-10-31,1000000.0,1048423.333426334,1000000.0,0,[],0,126
2024-11-01,1000000.0,1048423.333426334,1000000.0,0,[],0,126
2024-11-04,1000000.0,1040016.9907262695,1000000.0,0,[],0,126
2024-11-05,1000000.0,1049004.389783244,1000000.0,0,[],0,126
2024-11-06,1000000.0,1061090.8348910923,1000000.0,0,[],0,126
2024-11-07,1000000.0,1048655.7559690978,1000000.0,0,[],0,126
2024-11-08,1000000.0,1046060.2132801937,1000000.0,0,[],0,126
2024-11-11,1000000.0,1045789.0142399593,1000000.0,0,[],0,126
2024-11-12,1000000.0,1035019.669614784,1000000.0,0,[],0,126
2024-11-13,1000000.0,1021306.2667075869,1000000.0,0,[],0,126
2024-11-14,1000000.0,1021035.0676673525,1000000.0,0,[],0,126
2024-11-18,1000000.0,1016773.7906816294,1000000.0,0,[],0,126
2024-11-19,1000000.0,1019098.1343302992,1000000.0,0,[],0,126
2024-11-21,1000000.0,1012202.6563792303,1000000.0,0,[],0,126
