date,value_Loose,value_Tight,benchmark
2025-09-23,983815.854243557,999452.5156844537,1024315.5614250345
2025-09-24,981406.626045557,999452.5156844537,1019020.168095126
2025-09-25,976993.5973355296,999452.5156844537,1013112.3344770463
2025-09-26,973649.5966523337,999452.5156844537,1004106.5709862927
2025-09-29,973737.3995919431,999452.5156844537,1003386.1758672142
2025-09-30,973737.3995919431,999452.5156844537,999711.7540054595
2025-10-01,973737.3995919431,999452.5156844537,1010482.7218952734
2025-10-03,973737.3995919431,999452.5156844537,1012824.1984161421
2025-10-06,973650.9538449275,999452.5156844537,1019704.6149151141
2025-10-07,971607.7065613706,997574.0045887661,1020929.3855578203
2025-10-08,971186.1015809019,997152.3996082974,1017219.0153969753
2025-10-09,976363.9936032947,996815.4733724536,1023234.8038459622
2025-10-10,977849.9419980701,996815.4733724536,1028530.1971758709
2025-10-13,976561.2436032947,996815.4733724536,1025360.26077138
2025-10-14,971351.6950423378,996815.4733724536,1021938.0266714393
2025-10-15,973997.6312424309,996815.4733724536,1030511.5311040184
2025-10-16,973266.0357834465,996815.4733724536,1039985.6118856729
2025-10-17,969671.5870199543,996815.4733724536,1045281.0052155814
2025-10-20,969977.7806083391,996815.4733724536,1051368.8001963855
2025-10-21,969576.482809679,996815.4733724536,1051404.858429112
2025-10-23,969576.482809679,996815.4733724536,1053278.1275927161
2025-10-24,969568.2345477906,996815.4733724536,
2025-10-27,970592.4660084625,996815.4733724536,1056736.3099917474
2025-10-28,970592.4660084625,996815.4733724536,1055835.733642672
2025-10-29,970110.1620297614,996815.4733724536,1060878.9392107667
2025-10-30,970107.1346961773,996815.4733724536,1053962.4644790678
2025-10-31,970107.1346961773,996815.4733724536,1048559.0063846158
2025-11-03,970107.1346961773,996815.4733724536,1049531.6991991443
2025-11-04,971103.710317193,996815.4733724536,1043191.6065228904
2025-11-06,970814.1907177399,996815.4733724536,1038328.4722511561
2025-11-07,970463.7717181774,996815.4733724536,1039048.977303871
2025-11-10,970463.7717181774,996815.4733724536,1042831.3539965329
2025-11-11,970463.7717181774,996815.4733724536,1047622.4817364501
2025-11-12,969354.9080145719,995421.8073015942,1054466.8400026956
2025-11-13,969131.3235743769,995670.138083153,1053278.1275927161
2025-11-14,969131.3235743769,995670.138083153,1054863.0408281432
2025-11-17,969131.3235743769,995670.138083153,1058969.7217480722
2025-11-18,969131.3235743769,995670.138083153,1055367.416351771
2025-11-19,969131.3235743769,995670.138083153,1060410.6219198657
2025-11-20,964897.0644863769,995670.138083153,1064985.6201306959
2025-11-21,963912.7586783769,995670.138083153,1060230.550623505
2025-11-24,963912.7586783769,995670.138083153,1056556.1287617504
2025-11-25,963912.7586783769,995670.138083153,1054322.7170054251
2025-11-26,963912.7586783769,995670.138083153,1066318.4555379455
2025-11-27,963912.7586783769,995670.138083153,1067795.4139424653
2025-11-28,963912.7586783769,995670.138083153,1068047.4917706428
2025-12-01,963912.7586783769,995670.138083153,1066642.6498315763
2025-12-02,963912.7586783769,995670.138083153,1061455.3212662113
2025-12-03,963912.7586783769,995670.138083153,1058357.2814599012
2025-12-04,963912.7586783769,995670.138083153,1060410.6219198657
2025-12-05,963912.7586783769,995670.138083153,1066318.4555379455
2025-12-08,963912.7586783769,995670.138083153,1057096.562518105
2025-12-09,963912.7586783769,995670.138083153,1053134.0045954457
2025-12-10,963912.7586783769,995670.138083153,1050288.1525509495
2025-12-11,963912.7586783769,995670.138083153,1055223.2933545008
2025-12-12,963912.7586783769,995670.138083153,1061563.3860307548
2025-12-15,963912.7586783769,995670.138083153,1061023.0622080367
2025-12-16,963912.7586783769,995670.138083153,1054250.7104736082
2025-12-17,963912.7586783769,995670.138083153,1050828.4763736676
2025-12-18,963912.7586783769,995670.138083153,1051296.7936645686
2025-12-19,963912.7586783769,995670.138083153,1057094.6936462866
